Alter;Einkommen;Preis;Geschlecht;Zeit;KundeNr;Besucher;Kauf;Niederlassung
64;66894.0;88160.31;1.0;43;K0310;0;1;Bayern
54;77644.0;103145.7;1.0;40;K1042;0;1;Berlin
55;44341.0;80565.16;0.0;37;K0382;0;1;Baden-Württemberg
49;67271.0;83949.89;0.0;42;K0498;0;1;Bayern
46;49832.0;93781.58;0.0;41;K0552;0;1;Hessen
59;62970.0;83862.47;1.0;56;K0833;0;1;Hessen
36;23660.0;49960.18;1.0;23;K0097;0;1;Thüringen
50;62422.0;94530.65;1.0;38;K0290;0;1;Thüringen
32;34112.0;62280.35;1.0;36;K0950;0;1;Bayern
62;77546.0;124857.23;1.0;52;K0102;0;1;Baden-Württemberg
68;77662.0;118227.18;1.0;54;K1098;0;1;Thüringen
45;68432.0;82849.76;0.0;39;K0071;0;1;Berlin
51;37169.0;57319.84;0.0;31;K1023;0;1;Sachsen
65;78613.0;114603.28;1.0;50;K0482;0;1;Baden-Württemberg
53;69721.0;98479.34;1.0;54;K0440;0;1;Hessen
62;62350.0;84761.44;1.0;42;K0877;0;1;Hessen
34;57844.0;62302.49;1.0;54;K0295;0;1;Nordrhein-Westfalen
55;44222.0;78218.77;1.0;37;K0329;0;1;Bayern
53;74381.0;120881.72;0.0;57;K0433;0;1;Nordrhein-Westfalen
57;45095.0;77157.15;0.0;42;K0142;0;1;Baden-Württemberg
43;52813.0;67106.32;0.0;44;K0762;0;1;Berlin
46;49340.0;69960.66;0.0;47;K0459;0;1;Nordrhein-Westfalen
62;89774.0;117051.99;1.0;72;K0865;0;1;Sachsen
55;66861.0;97465.12;0.0;54;K1001;0;1;Bayern
66;84822.0;118968.62;0.0;56;K0889;0;1;Hessen
59;91693.0;121840.18;1.0;52;K0917;0;1;Bayern
67;61517.0;80799.11;0.0;43;K0537;0;1;Niedersachsen
66;78548.0;121289.35;0.0;69;K0362;0;1;Sachsen
40;61386.0;81555.07;0.0;53;K0856;0;1;Niedersachsen
41;45016.0;65106.71;0.0;39;K0399;0;1;Niedersachsen
30;39302.0;71437.17;1.0;35;K0448;0;1;Baden-Württemberg
65;83431.0;119640.51;1.0;65;K0210;0;1;Baden-Württemberg
48;46259.0;73400.97;1.0;29;K0502;0;1;Baden-Württemberg
53;56160.0;93839.56;1.0;38;K0782;0;1;Nordrhein-Westfalen
37;47689.0;73619.96;0.0;20;K0912;0;1;Hessen
55;56264.0;83364.29;1.0;40;K0412;0;1;Baden-Württemberg
34;27844.0;41694.48;0.0;36;K0690;0;1;Bayern
43;72619.0;94619.66;1.0;56;K0698;0;1;Berlin
57;51842.0;70527.14;0.0;51;K0045;0;1;Sachsen
39;16051.0;24654.09;0.0;29;K0535;0;1;Hamburg
55;63325.0;89117.31;0.0;46;K0766;0;1;Berlin
58;64638.0;98621.47;1.0;46;K0335;0;1;Bayern
44;54514.0;80645.05;1.0;53;K0695;0;1;Hessen
39;44538.0;74086.48;0.0;40;K0603;0;1;Bayern
65;96471.0;145684.18;1.0;55;K0520;0;1;Nordrhein-Westfalen
36;35235.0;67764.25;1.0;22;K0468;0;1;Nordrhein-Westfalen
36;41489.0;63321.68;1.0;47;K1047;0;1;Baden-Württemberg
70;77553.0;119128.85;1.0;58;K0619;0;1;Bayern
62;62829.0;96175.78;1.0;42;K0449;0;1;Baden-Württemberg
50;67714.0;90616.13;0.0;55;K0919;0;1;Hessen
69;73444.0;115561.62;1.0;47;K0052;0;1;Niedersachsen
52;49778.0;72763.75;1.0;44;K0732;0;1;Thüringen
46;61088.0;117616.31;1.0;48;K0622;0;1;Berlin
40;61057.0;77084.28;0.0;47;K0735;0;1;Baden-Württemberg
35;52067.0;67345.58;1.0;44;K0199;0;1;Berlin
58;64180.0;98148.01;1.0;51;K0057;0;1;Baden-Württemberg
41;39630.0;80659.67;1.0;41;K0507;0;1;Bayern
46;67665.0;83620.57;0.0;50;K0299;0;1;Berlin
40;43103.0;77219.0;0.0;33;K0531;0;1;Berlin
35;39813.0;60757.87;0.0;31;K0998;0;1;Niedersachsen
40;45448.0;70066.79;0.0;40;K0193;0;1;Baden-Württemberg
61;90246.0;111436.45;0.0;61;K0139;0;1;Bayern
65;60323.0;90362.92;1.0;47;K0588;0;1;Niedersachsen
57;70535.0;88743.79;1.0;46;K0406;0;1;Nordrhein-Westfalen
64;76331.0;108153.91;1.0;52;K0630;0;1;Baden-Württemberg
